Clave,Nombre,Lugar,Lat,Lon,VM
AMVM,Amecameca,Estado de México,19.131894,-98.785873,VM
AOVM,Álvaro Obregón,Ciudad de México,19.267567,-99.321900,VM
APVM,Azcapotzalco,Ciudad de México,19.488017,-99.208650,VM
ATVM,Atlacomulco,Estado de México,19.761847,-99.841048,VM
AZVM,Atizapán,Estado de México,19.584833,-99.282932,VM
BJVM,Benito Juárez,Ciudad de México,19.374986,-99.170690,VM
CHVM,Chichinautzin,Morelos,19.088367,-99.147483,VM
CIVM,Cerro de Cilcuayo,Ciudad de México,19.103550,-98.988117,VM
CJVM,Cuajimalpa,Ciudad de México,19.361647,-99.285089,VM
COVM,Coyoacán,Ciudad de México,19.351100,-99.156167,VM
CTVM,Cuauhtémoc,Ciudad de México,19.443032,-99.165502,VM
GMVM,Gustavo A. Madero,Ciudad de México,19.493042,-99.111033,VM
ICVM,Iztacalco,Ciudad de México,19.384483,-99.098950,VM
INVM,ININ,Estado de México,19.291225,-99.382735,VM
IPVM,Iztapalapa,Ciudad de México,19.346100,-99.091467,VM
MAVM,Malinalco,Estado de México,18.957208,-99.494090,VM
MCVM,Magdalena Contreras,Ciudad de México,19.320633,-99.255317,VM
MHVM,Miguel Hidalgo,Ciudad de México,19.407983,-99.209083,VM
MPVM,Milpa Alta,Ciudad de México,19.201013,-99.011447,VM
MZVM,Mezontepec,Ciudad de México,19.189182,-99.229317,VM
PBVM,Peñón de los Baños,Ciudad de México,19.440729,-99.083231,VM
PTVM,Pico Tres Padres,Estado de México,19.591275,-99.112503,VM
THVM,Tláhuac,Ciudad de México,19.311011,-98.973198,VM
TLVM,Tlalpan,Ciudad de México,19.209389,-99.153727,VM
TOVM,Toluca,Estado de México,19.282842,-99.677688,VM
TXVM,Texcoco,Estado de México,19.433690,-98.917862,VM
VRVM,Venustiano Carranza,Ciudad de México,19.417850,-99.114400,VM
VTVM,Valle de Teotihuacán,Estado de México,19.770101,-98.774508,VM
XCVM,Xochimilco,Ciudad de México,19.252731,-99.116850,VM
ZUVM,Zumpango,Estado de México,19.826459,-99.077543,VM
ZUVM,Zumpango,Estado de México,19.826459,-99.077543,VM
